date,close,ret
1985-10-01,112.139999,
1985-10-02,110.824997,-0.011726
1985-10-03,110.870003,0.000406
1985-10-04,110.074997,-0.007171
1985-10-07,108.199997,-0.017034
1985-10-08,107.160004,-0.009612
1985-10-09,108.629997,0.013718
1985-10-10,109.434998,0.00741
1985-10-11,111.050003,0.014758
1985-10-14,113.184998,0.019226
1985-10-15,113.379997,0.001723
1985-10-16,114.315002,0.008247
1985-10-17,114.739998,0.003718
1985-10-18,114.32,-0.00366
1985-10-21,113.68,-0.005598
1985-10-22,114.440002,0.006685
1985-10-23,115.065002,0.005461
1985-10-24,115.485001,0.00365
1985-10-25,113.910004,-0.013638
1985-10-28,113.82,-0.00079
1985-10-29,115.400002,0.013882
1985-10-30,115.769997,0.003206
1985-10-31,115.480003,-0.002505
1985-11-01,116.275002,0.006884
1985-11-04,116.040001,-0.002021
1985-11-05,116.440002,0.003447
1985-11-06,117.379997,0.008073
1985-11-07,117.620003,0.002045
1985-11-08,119.260002,0.013943
1985-11-11,120.400002,0.009559
1985-11-12,121.82,0.011794
1985-11-13,121.165001,-0.005377
1985-11-14,121.834999,0.00553
1985-11-15,122.175003,0.002791
1985-11-18,121.955002,-0.001801
1985-11-19,122.57,0.005043
1985-11-20,122.199997,-0.003019
1985-11-21,123.610001,0.011538
1985-11-22,123.970001,0.002912
1985-11-25,123.135002,-0.006735
1985-11-26,123.949997,0.006619
1985-11-27,125.769997,0.014683
1985-11-29,126.059998,0.002306
1985-12-02,125.184998,-0.006941
1985-12-03,125.230003,0.00036
1985-12-04,127.940002,0.02164
1985-12-05,128.460007,0.004064
1985-12-06,126.955002,-0.011716
1985-12-09,127.485001,0.004175
1985-12-10,127.974998,0.003844
1985-12-11,129.179993,0.009416
1985-12-12,129.764999,0.004529
1985-12-13,132.125,0.018187
1985-12-16,132.610001,0.003671
1985-12-17,131.535004,-0.008106
1985-12-18,131.139999,-0.003003
1985-12-19,131.925003,0.005986
1985-12-20,132.259995,0.002539
1985-12-23,130.725006,-0.011606
1985-12-24,130.029999,-0.005317
1985-12-26,130.345001,0.002423
1985-12-27,131.485001,0.008746
1985-12-30,131.945007,0.003499
1985-12-31,132.294998,0.002653
1986-01-02,131.255005,-0.007861
1986-01-03,130.550003,-0.005371
1986-01-06,130.354996,-0.001494
1986-01-07,132.789993,0.01868
1986-01-08,131.160004,-0.012275
1986-01-09,128.800003,-0.017993
1986-01-10,129.565002,0.005939
1986-01-13,129.095001,-0.003628
1986-01-14,129.179993,0.000658
1986-01-15,131.535004,0.01823
1986-01-16,133.059998,0.011594
1986-01-17,132.770004,-0.002179
1986-01-20,131.604996,-0.008775
1986-01-21,131.089996,-0.003913
1986-01-22,129.615005,-0.011252
1986-01-23,129.270004,-0.002662
1986-01-24,130.199997,0.007194
1986-01-27,130.794998,0.00457
1986-01-28,131.990005,0.009136
1986-01-29,133.059998,0.008107
1986-01-30,132.190002,-0.006538
1986-01-31,132.925003,0.00556
1986-02-03,134.240005,0.009893
1986-02-04,134.600006,0.002682
1986-02-05,135.714996,0.008284
1986-02-06,136.639999,0.006816
1986-02-07,137.419998,0.005708
1986-02-10,138.125,0.00513
1986-02-11,138.259995,0.000977
1986-02-12,138.664993,0.002929
1986-02-13,139.164993,0.003606
1986-02-14,140.160004,0.00715
1986-02-18,140.735001,0.004102
1986-02-19,139.639999,-0.007781
1986-02-20,139.945007,0.002184
1986-02-21,141.145004,0.008575
1986-02-24,140.199997,-0.006695
1986-02-25,139.399994,-0.005706
1986-02-26,138.875,-0.003766
1986-02-27,140.524994,0.011881
1986-02-28,140.425003,-0.000712
1986-03-03,139.740005,-0.004878
1986-03-04,140.544998,0.005761
1986-03-05,140.244995,-0.002135
1986-03-06,140.800003,0.003957
1986-03-07,140.710007,-0.000639
1986-03-10,142.434998,0.012259
1986-03-11,145.345001,0.02043
1986-03-12,146.619995,0.008772
1986-03-13,147.009995,0.00266
1986-03-14,147.0,-6.8e-05
1986-03-17,146.365005,-0.00432
1986-03-18,147.625,0.008609
1986-03-19,147.475006,-0.001016
1986-03-20,147.800003,0.002204
1986-03-21,148.005005,0.001387
1986-03-24,147.089996,-0.006182
1986-03-25,147.485001,0.002685
1986-03-26,147.255005,-0.001559
1986-03-27,148.375,0.007606
1986-03-31,148.860001,0.003269
1986-04-01,148.449997,-0.002754
1986-04-02,148.919998,0.003166
1986-04-03,148.710007,-0.00141
1986-04-04,147.035004,-0.011264
1986-04-07,146.054993,-0.006665
1986-04-08,148.929993,0.019684
1986-04-09,149.054993,0.000839
1986-04-10,151.764999,0.018181
1986-04-11,152.664993,0.00593
1986-04-14,153.925003,0.008253
1986-04-15,154.919998,0.006464
1986-04-16,158.895004,0.025658
1986-04-17,159.054993,0.001007
1986-04-18,157.660004,-0.00877
1986-04-21,158.524994,0.005486
1986-04-22,157.860001,-0.004195
1986-04-23,157.460007,-0.002534
1986-04-24,159.854996,0.01521
1986-04-25,160.460007,0.003785
1986-04-28,159.899994,-0.00349
1986-04-29,158.25,-0.010319
1986-04-30,154.910004,-0.021106
1986-05-01,154.205002,-0.004551
1986-05-02,155.009995,0.00522
1986-05-05,157.139999,0.013741
1986-05-06,157.125,-9.5e-05
1986-05-07,156.255005,-0.005537
1986-05-08,157.160004,0.005792
1986-05-09,157.914993,0.004804
1986-05-12,157.75,-0.001045
1986-05-13,157.050003,-0.004437
1986-05-14,157.005005,-0.000287
1986-05-15,155.764999,-0.007898
1986-05-16,154.994995,-0.004943
1986-05-19,155.309998,0.002032
1986-05-20,157.009995,0.010946
1986-05-21,157.440002,0.002739
1986-05-22,159.630005,0.01391
1986-05-23,160.164993,0.003351
1986-05-27,161.175003,0.006306
1986-05-28,161.304993,0.000807
1986-05-29,161.619995,0.001953
1986-05-30,163.160004,0.009529
1986-06-02,162.029999,-0.006926
1986-06-03,162.110001,0.000494
1986-06-04,161.824997,-0.001758
1986-06-05,162.360001,0.003306
1986-06-06,161.884995,-0.002926
1986-06-09,158.610001,-0.02023
1986-06-10,158.104996,-0.003184
1986-06-11,160.035004,0.012207
1986-06-12,160.365005,0.002062
1986-06-13,162.354996,0.012409
1986-06-16,160.800003,-0.009578
1986-06-17,158.574997,-0.013837
1986-06-18,158.479996,-0.000599
1986-06-19,159.279999,0.005048
1986-06-20,159.585007,0.001915
1986-06-23,159.554993,-0.000188
1986-06-24,160.800003,0.007803
1986-06-25,162.0,0.007463
1986-06-26,161.720001,-0.001728
1986-06-27,161.615005,-0.000649
1986-06-30,162.615005,0.006188
1986-07-01,163.324997,0.004366
1986-07-02,163.960007,0.003888
1986-07-03,164.514999,0.003385
1986-07-07,157.625,-0.041881
1986-07-08,153.259995,-0.027692
1986-07-09,155.410004,0.014029
1986-07-10,154.289993,-0.007207
1986-07-11,152.854996,-0.009301
1986-07-14,149.285004,-0.023355
1986-07-15,146.255005,-0.020297
1986-07-16,147.395004,0.007795
1986-07-17,148.464996,0.007259
1986-07-18,147.759995,-0.004749
1986-07-21,147.074997,-0.004636
1986-07-22,147.404999,0.002244
1986-07-23,147.175003,-0.00156
1986-07-24,147.279999,0.000713
1986-07-25,148.259995,0.006654
1986-07-28,145.505005,-0.018582
1986-07-29,144.205002,-0.008934
1986-07-30,144.520004,0.002184
1986-07-31,144.705002,0.00128
1986-08-01,144.190002,-0.003559
1986-08-04,142.524994,-0.011547
1986-08-05,141.860001,-0.004666
1986-08-06,140.544998,-0.00927
1986-08-07,140.695007,0.001067
1986-08-08,142.294998,0.011372
1986-08-11,145.440002,0.022102
1986-08-12,147.059998,0.011139
1986-08-13,148.835007,0.01207
1986-08-14,149.994995,0.007794
1986-08-15,149.574997,-0.0028
1986-08-18,149.070007,-0.003376
1986-08-19,148.595001,-0.003186
1986-08-20,149.755005,0.007806
1986-08-21,150.009995,0.001703
1986-08-22,150.945007,0.006233
1986-08-25,149.910004,-0.006857
1986-08-26,151.154999,0.008305
1986-08-27,152.020004,0.005723
1986-08-28,152.044998,0.000164
1986-08-29,151.699997,-0.002269
1986-09-02,149.339996,-0.015557
1986-09-03,149.820007,0.003214
1986-09-04,151.395004,0.010513
1986-09-05,149.669998,-0.011394
1986-09-08,146.550003,-0.020846
1986-09-09,145.759995,-0.005391
1986-09-10,144.740005,-0.006998
1986-09-11,138.460007,-0.043388
1986-09-12,135.035004,-0.024736
1986-09-15,134.940002,-0.000704
1986-09-16,135.210007,0.002001
1986-09-17,136.389999,0.008727
1986-09-18,138.134995,0.012794
1986-09-19,138.455002,0.002317
1986-09-22,140.119995,0.012026
1986-09-23,139.565002,-0.003961
1986-09-24,139.235001,-0.002365
1986-09-25,137.615005,-0.011635
1986-09-26,137.585007,-0.000218
1986-09-29,135.535004,-0.0149
1986-09-30,137.494995,0.014461
1986-10-01,138.264999,0.0056
1986-10-02,138.220001,-0.000325
1986-10-03,138.554993,0.002424
1986-10-06,139.115005,0.004042
1986-10-07,138.255005,-0.006182
1986-10-08,139.264999,0.007305
1986-10-09,139.164993,-0.000718
1986-10-10,139.869995,0.005066
1986-10-13,140.675003,0.005755
1986-10-14,140.964996,0.002061
1986-10-15,142.100006,0.008052
1986-10-16,141.899994,-0.001408
1986-10-17,141.195007,-0.004968
1986-10-20,140.100006,-0.007755
1986-10-21,139.925003,-0.001249
1986-10-22,140.300003,0.00268
1986-10-23,142.149994,0.013186
1986-10-24,141.964996,-0.001301
1986-10-27,141.759995,-0.001444
1986-10-28,142.494995,0.005185
1986-10-29,143.130005,0.004456
1986-10-30,144.779999,0.011528
1986-10-31,144.479996,-0.002072
1986-11-03,144.809998,0.002284
1986-11-04,145.964996,0.007976
1986-11-05,146.179993,0.001473
1986-11-06,145.410004,-0.005267
1986-11-07,144.910004,-0.003439
1986-11-10,144.294998,-0.004244
