date,prc,ret
1971-02-08,100.83999633789062,0.00839996337890625
1971-02-09,100.76000213623047,-0.0007932785062002567
1971-02-10,100.69000244140625,-0.0006947170835662764
1971-02-11,101.44999694824219,0.007547864618219657
1971-02-12,102.05000305175781,0.005914303810395705
1971-02-16,102.19000244140625,0.0013718705091800842
1971-02-17,101.73999786376953,-0.004403606682510275
1971-02-18,101.41999816894531,-0.003145269329105971
1971-02-19,100.69999694824219,-0.007099203645258845
1971-02-22,99.68000030517578,-0.010129063296701601
1971-02-23,99.72000122070312,0.00040129329258498103
1971-02-24,100.63999938964844,0.00922581385562915
1971-02-25,101.2300033569336,0.0058625195833004184
1971-02-26,101.33999633789062,0.0010865650233082835
1971-03-01,101.77999877929688,0.004341843865270922
1971-03-02,101.83999633789062,0.0005894827993055962
1971-03-03,102.06999969482422,0.0022584776630438785
1971-03-04,102.77999877929688,0.006956001632168807
1971-03-05,103.0,0.002140506161860678
1971-03-08,104.2300033569336,0.011941780164403726
1971-03-09,104.41000366210938,0.0017269528866785677
1971-03-10,104.13999938964844,-0.0025860000286440643
1971-03-11,104.26000213623047,0.0011523213682096412
1971-03-12,104.5,0.0023019169274132167
1971-03-15,105.12999725341797,0.006028681850889672
1971-03-16,105.55999755859375,0.0040901770798991155
1971-03-17,105.5,-0.0005683740051286579
1971-03-18,105.87999725341797,0.0036018697006443556
1971-03-19,105.7699966430664,-0.0010389177673312266
1971-03-22,105.37000274658203,-0.0037817330923646253
1971-03-23,105.11000061035156,-0.0024675157013688276
1971-03-24,104.69999694824219,-0.003900710300909216
1971-03-25,104.5999984741211,-0.0009550952916506095
1971-03-26,105.06999969482422,0.004493319575137544
1971-03-29,105.19999694824219,0.0012372442542643025
1971-03-30,105.44000244140625,0.0022814211038630905
1971-03-31,105.97000122070312,0.0050265436933329966
1971-04-01,106.33999633789062,0.0034915080959272426
1971-04-02,106.86000061035156,0.004890015895887778
1971-04-05,107.16999816894531,0.002900969088743599
1971-04-06,107.55999755859375,0.003639072467218174
1971-04-07,108.05999755859375,0.0046485683464954075
1971-04-08,108.37999725341797,0.0029613150291873946
1971-04-12,108.87000274658203,0.004521180158533422
1971-04-13,108.8499984741211,-0.00018374457569825253
1971-04-14,109.08000183105469,0.0021130304102694453
1971-04-15,109.69000244140625,0.005592231390831426
1971-04-16,109.95999908447266,0.0024614517007657266
1971-04-19,110.16000366210938,0.0018188848608762243
1971-04-20,109.52999877929688,-0.005718998382978402
1971-04-21,109.5199966430664,-9.131869206557841e-05
1971-04-22,109.98999786376953,0.004291464893255048
1971-04-23,110.69000244140625,0.00636425667089946
1971-04-26,111.12999725341797,0.003975018541034325
1971-04-27,111.69000244140625,0.005039190154133344
1971-04-28,112.37000274658203,0.0060882826601469375
1971-04-29,112.45999908447266,0.0008008929046090518
1971-04-30,112.30000305175781,-0.0014226928153775464
1971-05-03,111.3499984741211,-0.008459524058951895
1971-05-04,111.7699966430664,0.003771874043113854
1971-05-05,111.68000030517578,-0.0008051922751507457
1971-05-06,111.05999755859375,-0.005551600509382304
1971-05-07,110.66000366210938,-0.0036016018843629816
1971-05-10,110.1500015258789,-0.004608730520086701
1971-05-11,110.33000183105469,0.0016341380179962783
1971-05-12,110.37000274658203,0.0003625570095484587
1971-05-13,110.55000305175781,0.001630880680406177
1971-05-14,110.73999786376953,0.0017186323542910387
1971-05-17,109.1500015258789,-0.014357922779144494
1971-05-18,108.4000015258789,-0.006871277961660649
1971-05-19,108.33000183105469,-0.0006457536331999636
1971-05-20,108.72000122070312,0.003600105077600446
1971-05-21,108.8499984741211,0.0011957068796759618
1971-05-24,108.41999816894531,-0.0039503933045806905
1971-05-25,107.5,-0.00848550253166147
1971-05-26,107.52999877929688,0.00027905841206399273
1971-05-27,107.5999984741211,0.000650978290885007
1971-05-28,108.25,0.006040906460005546
1971-06-01,108.87000274658203,0.005727508051566188
1971-06-02,109.55999755859375,0.0063377863011340185
1971-06-03,110.22000122070312,0.006024129945388035
1971-06-04,110.66000366210938,0.003992038074153159
1971-06-07,110.76000213623047,0.0009036550769185858
1971-06-08,110.0199966430664,-0.006681161781252776
1971-06-09,109.79000091552734,-0.0020904902250199475
1971-06-10,110.05999755859375,0.002459209771517701
1971-06-11,110.19999694824219,0.0012720279188984662
1971-06-14,109.56999969482422,-0.00571685363760821
1971-06-15,109.36000061035156,-0.0019165746559965946
1971-06-16,109.44000244140625,0.0007315456346761451
1971-06-17,109.44000244140625,0.0
1971-06-18,108.16000366210938,-0.011695895017748925
1971-06-21,106.5,-0.015347666474709198
1971-06-22,105.48999786376953,-0.00948358813361938
1971-06-23,105.98999786376953,0.004739785857666767
1971-06-24,106.37000274658203,0.0035852900318096292
1971-06-25,106.55999755859375,0.0017861690994251944
1971-06-28,106.44999694824219,-0.0010322880337068074
1971-06-29,107.22000122070312,0.007233483274173613
1971-06-30,107.80000305175781,0.0054094555535473265
1971-07-01,108.47000122070312,0.006215196196456718
1971-07-02,108.7699966430664,0.0027656994467335494
1971-07-06,109.2300033569336,0.004229169146494627
1971-07-07,110.01000213623047,0.00714088396342949
1971-07-08,110.41999816894531,0.003726897779777527
1971-07-09,110.91000366210938,0.0044376517052131526
1971-07-12,111.23999786376953,0.0029753330697337432
1971-07-13,110.76000213623047,-0.004314956281524673
1971-07-14,110.33999633789062,-0.0037920349425711875
1971-07-15,110.72000122070312,0.00344394503738088
1971-07-16,109.9800033569336,-0.006683506643885062
1971-07-19,109.37000274658203,-0.0055464683736355935
1971-07-20,109.79000091552734,0.0038401587126086767
